game_id,game_order,event,site,date_played,round,white,black,result,white_elo,white_rating_diff,black_elo,black_rating_diff,white_title,black_title,winner,winner_elo,loser,loser_elo,winner_loser_elo_diff,eco,termination,time_control,utc_date,utc_time,variant,ply_count,date_created,file_name
3fddc255-3310-4f9b-a188-e2a1fed4f7d3,33,Nordic Championships,Bergen NOR,2001.08.09,6,"Hersvik,D","Carlsen,M",1/2-1/2,2241,,2084,,,,draw,,draw,,0,A05,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
2a1cae78-b95f-4e08-aca6-861a0037bc1e,34,Nordic Championships,Bergen NOR,2001.08.10,7,"Carlsen,M","Plachkinova,T",0-1,2084,,2190,,,,"Plachkinova,T",2190,"Carlsen,M",2084,106,D16,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
9bceaa6e-22b4-45ea-b391-7b29d8c8e66a,35,Nordic Championships,Bergen NOR,2001.08.11,8,"Weighell,M","Carlsen,M",1-0,2119,,2084,,,,"Weighell,M",2119,"Carlsen,M",2084,35,B22,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
2c630368-47f1-430b-9bff-5695f9646a10,36,Nordic Championships,Bergen NOR,2001.08.12,9,"Carlsen,M","Flaata,A",1-0,2084,,2097,,,,"Carlsen,M",2084,"Flaata,A",2097,-13,B00,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
1242abfa-d0c3-4931-a4c4-5a64b32aea65,37,ECC,Panormo GRE,2001.09.23,1,"Carlsen,M","Stojanovski,D",1/2-1/2,2084,,2417,,,,draw,,draw,,0,A34,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
68c412be-52a0-44b3-b12c-10336d1a5531,38,ECC,Panormo GRE,2001.09.24,2,"Banas,J","Carlsen,M",1-0,2361,,2084,,,,"Banas,J",2361,"Carlsen,M",2084,277,B38,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
0fed9361-7201-4c12-82ea-b9f3521397ea,39,ECC,Panormo GRE,2001.09.25,3,"Carlsen,M","Scheffknecht,P",1-0,2084,,2150,,,,"Carlsen,M",2084,"Scheffknecht,P",2150,-66,B42,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
5c7fe051-dbaa-4a3e-93be-236ab587870a,40,ECC,Panormo GRE,2001.09.26,4,"Reynolds,Pat","Carlsen,M",1/2-1/2,,,2084,,,,draw,,draw,,0,A45,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
4e92d5a1-afd3-4366-ad9c-ec38c56da0de,41,ECC,Panormo GRE,2001.09.27,5,"Carlsen,M","Indrebo,Kyrre",1-0,2084,,,,,,"Carlsen,M",2084,"Indrebo,Kyrre",,0,A87,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
767fee14-cee6-4374-8d20-177ac6ee904e,42,ECC,Panormo GRE,2001.09.28,6,"Kouvatsou,M","Carlsen,M",1/2-1/2,2234,,2084,,,,draw,,draw,,0,C55,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
9bd6436d-636a-428f-9530-7cba188f26b2,43,ECC,Panormo GRE,2001.09.29,7,"Clements,Shannon","Carlsen,M",0-1,,,2084,,,,"Carlsen,M",2084,"Clements,Shannon",,0,B95,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
49ad4dab-4ece-4692-9065-99deca678cd7,44,5th OIBM,Bad Wiessee GER,2001.10.27,1,"Kacheishvili,G","Carlsen,M",1-0,2583,,2072,,,,"Kacheishvili,G",2583,"Carlsen,M",2072,511,E32,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
420223c4-5a17-4489-9d5f-2f9f7cfc0a4e,45,5th OIBM,Bad Wiessee GER,2001.11.03,8,"Carlsen,M","Wachinger,G",1/2-1/2,2072,,2234,,,,draw,,draw,,0,B42,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
ec33c2b5-57e0-4dcf-a997-770d6b0b239e,46,TCh-NOR Qualifier,NOR,2001.??.??,1,"Gaasland,Glenn","Carlsen,M",0-1,,,2072,,,,"Carlsen,M",2072,"Gaasland,Glenn",,0,E32,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
8d136c4e-c82d-4df8-a430-0326d73cfe7f,47,TCh-NOR Qualifier,NOR,2001.??.??,2,"Ribbegren,Carl","Carlsen,M",1-0,,,2072,,,,"Ribbegren,Carl",,"Carlsen,M",2072,0,E30,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
82985617-bf9b-4e4d-94bf-471fa1ef8a82,48,TCh-NOR Qualifier,NOR,2001.??.??,3,"Andersen,Ru","Carlsen,M",0-1,2057,,2072,,,,"Carlsen,M",2072,"Andersen,Ru",2057,15,E59,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
e26a4ae1-68f1-4b0d-b058-7752eafe4379,49,Troll Masters,Gausdal NOR,2002.01.04,1,"Egeland,Marte","Carlsen,M",0-1,,,2127,,,,"Carlsen,M",2127,"Egeland,Marte",,0,B34,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
fb1e9322-5a0a-4bb9-94e3-6a787e2156ec,50,Troll Masters,Gausdal NOR,2002.01.05,2,"Carlsen,M","Johansson,P",1-0,2127,,2041,,,,"Carlsen,M",2127,"Johansson,P",2041,86,D11,,,,,,,2022-09-05T23:01:37+0000,Carlsen.pgn
